# Name of the FOGGEI halo
# Name of the snapshot
# Redshift of snapshot
# Cosmological time of the snapshot (Gyr)
# Log of stellar mass (in Msun)
# Log of total metallicity (in Zsun)
# Log of the median of the metallicity distribution (in Zsun)
# Log of inter-quartile range of the distribution (75th - 25th percentile) (in Zsun)
# Fitted gradient of the radial profile, with uncertainty (in dex/kpc)
halo	output	redshift	time	log_mass	log_Ztotal	log_Z50	log_ZIQR	Zgrad
Squall	DD1210	0.8239039720736501	6.714920925052769	10.496639989271204	-0.042906611892668776	-0.0759127030640261	0.35783787681116397	-0.1076+/-0.0027
Squall	DD1211	0.82281462812372	6.720300323615633	10.497257761738064	-0.04111261261751639	-0.07747596124866041	0.3586771200525785	-0.1018+/-0.0020
Squall	DD1212	0.82172680565256	6.725679722178493	10.498549255127923	-0.039436272758893096	-0.06093262913860984	0.3447757787020994	-0.0990+/-0.0019
Squall	DD1213	0.8206405013207599	6.7310591207413575	10.499358245361279	-0.03614778025188264	-0.04215264314865003	0.34139509639308274	-0.0988+/-0.0028
Squall	DD1214	0.8195557117989001	6.73643851930422	10.499977830890236	-0.034525029549402064	-0.04474435531342633	0.34056335186476183	-0.1001+/-0.0021
Squall	DD1215	0.8184724337675001	6.741817917867082	10.501243597896272	-0.032640735295552274	-0.05114646846656706	0.3273692837547798	-0.1016+/-0.0027
Squall	DD1216	0.81739066391701	6.747197316429943	10.502360064959289	-0.031466228812674	-0.055314166926481514	0.3309471874594572	-0.1019+/-0.0018
Squall	DD1217	0.81631039894775	6.752576714992808	10.503497082873096	-0.028706863105906963	-0.05868428743968537	0.33933986671807814	-0.1007+/-0.0021
Squall	DD1218	0.81523163556988	6.75795611355567	10.512757934852171	-0.028110689936487118	-0.0607692913800253	0.3528197435533206	-0.0969+/-0.0031
Squall	DD1219	0.81415437050337	6.763335512118533	10.513298058969967	-0.027029904194381633	-0.06057674889800685	0.3540422860013554	-0.094+/-0.004
Squall	DD1220	0.81307860047795	6.7687149106813935	10.088272680138685	0.036217538139672635	0.006556663884560286	0.1587242590264935	-0.0604+/-0.0033
Squall	DD1221	0.81200270496933	6.7740943092442585	10.515080323417568	-0.025128338421619868	-0.06374707815767812	0.3409110132286522	-0.094+/-0.005
Squall	DD1222	0.81092571834222	6.779473707807119	10.51662179358295	-0.023598617128252068	-0.06309892426048802	0.33509460503532684	-0.091+/-0.005
Squall	DD1223	0.80985022530637	6.784853106369983	10.519610029201372	-0.02021991250922204	-0.05470184014100262	0.33447982208076876	-0.092+/-0.005
Squall	DD1224	0.80877622260871	6.7902325049328445	10.523784177980398	-0.01706419439761065	-0.05048095626315095	0.34253161864541815	-0.099+/-0.006
Squall	DD1225	0.80770370700579	6.795611903495708	10.5243685136709	-0.016154912684595634	-0.04758131367769143	0.34655335481866156	-0.105+/-0.005
Squall	DD1226	0.80663267526382	6.800991302058568	10.5249854690677	-0.016227151917079442	-0.04689374972152409	0.35090864577456476	-0.111+/-0.005
Squall	DD1227	0.80556312415854	6.806370700621432	10.097214979170056	0.06312667038385578	0.024067405632753856	0.20783843760091822	-0.0578+/-0.0025
Squall	DD1228	0.80449505047529	6.811750099184295	10.52644841319259	-0.0156520981952273	-0.047111230158381694	0.3719088060269796	-0.113+/-0.006
Squall	DD1229	0.8034284510088899	6.817129497747158	10.526920393675733	-0.015019767367178168	-0.04632759047096415	0.37125774331042316	-0.108+/-0.006
Squall	DD1230	0.8023633225636401	6.822508896310018	10.527256349720405	-0.014525729536391084	-0.04484764243496433	0.37548956832979297	-0.101+/-0.007
Squall	DD1231	0.80129966195328	6.827888294872881	10.52795543730177	-0.013622564822890329	-0.0467850038255807	0.3749199763714056	-0.097+/-0.009
Squall	DD1232	0.80023746600097	6.8332676934357455	10.528345678868847	-0.013908201872134835	-0.050271518626293775	0.37066906677200573	-0.104+/-0.009
Squall	DD1233	0.7991767552591801	6.838646971622512	10.528577817964857	-0.013389679567055331	-0.052561989180546095	0.3709152372816107	-0.100+/-0.009
Squall	DD1234	0.7981174554075	6.844026490573517	10.528744818198604	-0.014189615110330876	-0.0541794471256124	0.37091978103636786	-0.100+/-0.010
Squall	DD1235	0.7970596344640799	6.849405889124332	10.529040915031624	-0.01728255589655871	-0.06063379260275315	0.37548125243006725	-0.100+/-0.010
Squall	DD1236	0.79600326556227	6.854785287687193	10.529075809830132	-0.020465976029703858	-0.07169147222249163	0.38081050797914234	-0.104+/-0.009
Squall	DD1237	0.79494834557409	6.860164686250057	10.524585176428955	-0.02568379956519517	-0.08016475423005548	0.3927717653446643	-0.110+/-0.009
Squall	DD1238	0.7938948713783699	6.865544084812919	10.52401327202994	-0.02837705954309652	-0.08220298791877625	0.39562337686126364	-0.114+/-0.009
Squall	DD1239	0.79284283986312	6.8709234833757815	10.52441986968382	-0.030247622914755364	-0.07916855139459839	0.3878358783288823	-0.109+/-0.010
Squall	DD1240	0.79179224792548	6.876302881938644	10.524535895797035	-0.03176015577653333	-0.07854688730777505	0.3852212653206549	-0.106+/-0.011
Squall	DD1241	0.7907430924716701	6.881682280501506	10.524847034922447	-0.03379506702784912	-0.08000213620178688	0.3823432227402345	-0.113+/-0.011
Squall	DD1242	0.7896953704169799	6.887061679064369	10.525187066011046	-0.037580629105094215	-0.08683085789848302	0.3843583269089807	-0.124+/-0.011
Squall	DD1243	0.78864907868571	6.8924410776272325	10.525522417593029	-0.03937119334049539	-0.08768380540440945	0.38616004765511236	-0.113+/-0.008
Squall	DD1244	0.7876042142111899	6.897820476190094	10.526297709409361	-0.03617415551029658	-0.07744023449753759	0.37295977423367427	-0.113+/-0.008
Squall	DD1245	0.786556894263	6.903199874752957	10.527055630934878	-0.03234588176477034	-0.07304418182456386	0.36602383800054367	-0.113+/-0.008
Squall	DD1246	0.78551068710491	6.908579273315818	10.527636289041375	-0.029501875736754894	-0.06905903309740061	0.36454320431587195	-0.112+/-0.005
Squall	DD1247	0.7844659062076801	6.9139586718786825	10.52808757626068	-0.027333154746442413	-0.06849033681536203	0.33820978767783094	-0.114+/-0.004
Squall	DD1248	0.78342254851951	6.919338070441544	10.528254230535943	-0.02565631987164309	-0.0614887307126837	0.3284301416544545	-0.115+/-0.005
Squall	DD1249	0.78238061099747	6.924717469004405	10.528794269333734	-0.024573803764636158	-0.061515391994812964	0.3236104765215562	-0.114+/-0.006
Squall	DD1250	0.7813400906075301	6.9300968675672685	10.52911288310674	-0.020616317350699527	-0.051485462376009775	0.3128907439162393	-0.109+/-0.005
Squall	DD1251	0.7803009843244499	6.93547626613013	10.529432717110181	-0.01858589138533432	-0.047237008053932	0.3041723913849555	-0.106+/-0.006
Squall	DD1252	0.7792632891318199	6.940855664692994	10.529838149462439	-0.017177221166021644	-0.043233595456150534	0.29954720150343384	-0.104+/-0.006
Squall	DD1253	0.77822700202198	6.946235063255856	10.530008259396539	-0.01663199576445063	-0.030544010162010582	0.29696853906831056	-0.096+/-0.006
